Season,League,Team Name,Conference,Division,W,L
1960,AFL,bills,nan,Eastern,5.0,8.0
1961,AFL,bills,nan,Eastern,6.0,8.0
1962,AFL,bills,nan,Eastern,7.0,6.0
1963,AFL,bills,nan,Eastern,7.0,6.0
1964,AFL,bills,nan,Eastern,12.0,2.0
1965,AFL,bills,nan,Eastern,10.0,3.0
1966,AFL,bills,nan,Eastern,9.0,4.0
1967,AFL,bills,nan,Eastern,4.0,10.0
1968,AFL,bills,nan,Eastern,1.0,12.0
1969,AFL,bills,nan,Eastern,4.0,10.0
1970,NFL,bills,AFC,East,3.0,10.0
1971,NFL,bills,AFC,East,1.0,13.0
1972,NFL,bills,AFC,East,4.0,9.0
1973,NFL,bills,AFC,East,9.0,5.0
1974,NFL,bills,AFC,East,9.0,5.0
1975,NFL,bills,AFC,East,8.0,6.0
1976,NFL,bills,AFC,East,2.0,12.0
1977,NFL,bills,AFC,East,3.0,11.0
1978,NFL,bills,AFC,East,5.0,11.0
1979,NFL,bills,AFC,East,7.0,9.0
1980,NFL,bills,AFC,East,11.0,5.0
1981,NFL,bills,AFC,East,10.0,6.0
1982,NFL,bills,AFC,None,4.0,5.0
1983,NFL,bills,AFC,East,8.0,8.0
1984,NFL,bills,AFC,East,2.0,14.0
1985,NFL,bills,AFC,East,2.0,14.0
1986,NFL,bills,AFC,East,4.0,12.0
1987,NFL,bills,AFC,East,7.0,8.0
1988,NFL,bills,AFC,East,12.0,4.0
1989,NFL,bills,AFC,East,9.0,7.0
1990,NFL,bills,AFC,East,13.0,3.0
1991,NFL,bills,AFC,East,13.0,3.0
1992,NFL,bills,AFC,East,11.0,5.0
1993,NFL,bills,AFC,East,12.0,4.0
1994,NFL,bills,AFC,East,7.0,9.0
1995,NFL,bills,AFC,East,10.0,6.0
1996,NFL,bills,AFC,East,10.0,6.0
1997,NFL,bills,AFC,East,6.0,10.0
1998,NFL,bills,AFC,East,10.0,6.0
1999,NFL,bills,AFC,East,11.0,5.0
2000,NFL,bills,AFC,East,8.0,8.0
2001,NFL,bills,AFC,East,3.0,13.0
2002,NFL,bills,AFC,East,8.0,8.0
2003,NFL,bills,AFC,East,6.0,10.0
2004,NFL,bills,AFC,East,9.0,7.0
2005,NFL,bills,AFC,East,5.0,11.0
2006,NFL,bills,AFC,East,7.0,9.0
2007,NFL,bills,AFC,East,7.0,9.0
2008,NFL,bills,AFC,East,7.0,9.0
2009,NFL,bills,AFC,East,6.0,10.0
2010,NFL,bills,AFC,East,4.0,12.0
2011,NFL,bills,AFC,East,6.0,10.0
2012,NFL,bills,AFC,East,6.0,10.0
2013,NFL,bills,AFC,East,6.0,10.0
2014,NFL,bills,AFC,East,9.0,7.0
2015,NFL,bills,AFC,East,8.0,8.0
2016,NFL,bills,AFC,East,7.0,9.0
2017,NFL,bills,AFC,East,9.0,7.0
2018,NFL,bills,AFC,East,6.0,10.0
2019,NFL,bills,AFC,East,10.0,6.0
2020,NFL,bills,AFC,East,13.0,3.0
2021,NFL,bills,AFC,East,11.0,6.0
2022,NFL,bills,AFC,East,13.0,3.0
2023,NFL,bills,AFC,East,11.0,6.0
2024,NFL,bills,AFC,East,13.0,4.0
2025,NFL,bills,AFC,East,12.0,5.0
1960,AFL,jets,—,East,7,7
1961,AFL,jets,—,East,7,7
1962,AFL,jets,—,East,5,9
1963,AFL,jets,—,East,5,8
1964,AFL,jets,—,East,5,8
1965,AFL,jets,—,East,5,8
1966,AFL,jets,—,East,6,6
1967,AFL,jets,—,East,8,5
1968,AFL,jets,—,East,11,3
1969,AFL,jets,—,East,10,4
1970,NFL,jets,AFC,East,4,10
1971,NFL,jets,AFC,East,6,8
1972,NFL,jets,AFC,East,7,7
1973,NFL,jets,AFC,East,4,10
1974,NFL,jets,AFC,East,7,7
1975,NFL,jets,AFC,East,3,11
1976,NFL,jets,AFC,East,3,11
1977,NFL,jets,AFC,East,3,11
1978,NFL,jets,AFC,East,8,8
1979,NFL,jets,AFC,East,8,8
1980,NFL,jets,AFC,East,4,12
1981,NFL,jets,AFC,East,10,5
1983,NFL,jets,AFC,East,7,9
1984,NFL,jets,AFC,East,7,9
1985,NFL,jets,AFC,East,11,5
1986,NFL,jets,AFC,East,10,6
1988,NFL,jets,AFC,East,8,7
1989,NFL,jets,AFC,East,4,12
1990,NFL,jets,AFC,East,6,10
1991,NFL,jets,AFC,East,8,8
1992,NFL,jets,AFC,East,4,12
1993,NFL,jets,AFC,East,8,8
1994,NFL,jets,AFC,East,6,10
1995,NFL,jets,AFC,East,3,13
1996,NFL,jets,AFC,East,1,15
1997,NFL,jets,AFC,East,9,7
1998,NFL,jets,AFC,East,12,4
1999,NFL,jets,AFC,East,8,8
2000,NFL,jets,AFC,East,9,7
2001,NFL,jets,AFC,East,10,6
2002,NFL,jets,AFC,East,9,7
2003,NFL,jets,AFC,East,6,10
2004,NFL,jets,AFC,East,10,6
2005,NFL,jets,AFC,East,4,12
2006,NFL,jets,AFC,East,10,6
2007,NFL,jets,AFC,East,4,12
2008,NFL,jets,AFC,East,9,7
2009,NFL,jets,AFC,East,9,7
2010,NFL,jets,AFC,East,11,5
2011,NFL,jets,AFC,East,8,8
2012,NFL,jets,AFC,East,6,10
2013,NFL,jets,AFC,East,8,8
2014,NFL,jets,AFC,East,4,12
2015,NFL,jets,AFC,East,10,6
2016,NFL,jets,AFC,East,5,11
2017,NFL,jets,AFC,East,5,11
2018,NFL,jets,AFC,East,4,12
2019,NFL,jets,AFC,East,7,9
2020,NFL,jets,AFC,East,2,14
2021,NFL,jets,AFC,East,4,13
2022,NFL,jets,AFC,East,7,10
2023,NFL,jets,AFC,East,7,10
2024,NFL,jets,AFC,East,5,12
2025,NFL,jets,AFC,East,3,14
1996,NFL,ravens,AFC,Central,4,12
1997,NFL,ravens,AFC,Central,6,9
1998,NFL,ravens,AFC,Central,6,10
1999,NFL,ravens,AFC,Central,8,8
2000,NFL,ravens,AFC,Central,12,4
2001,NFL,ravens,AFC,Central,10,6
2002,NFL,ravens,AFC,North,7,9
2003,NFL,ravens,AFC,North,10,6
2004,NFL,ravens,AFC,North,9,7
2005,NFL,ravens,AFC,North,6,10
2006,NFL,ravens,AFC,North,13,3
2007,NFL,ravens,AFC,North,5,11
2008,NFL,ravens,AFC,North,11,5
2009,NFL,ravens,AFC,North,9,7
2010,NFL,ravens,AFC,North,12,4
2011,NFL,ravens,AFC,North,12,4
2012,NFL,ravens,AFC,North,10,6
2013,NFL,ravens,AFC,North,8,8
2014,NFL,ravens,AFC,North,10,6
